"錆び付いた車輪 悲鳴を上げ
僕等の体を運んでいく 明け方の駅へと

ペダルを漕ぐ僕の背中
寄りかかる君から伝わるもの 確かな温もり

線路沿いの上り坂で
｢もうちょっと､あと少し｣後ろから楽しそうな声

町はとても静か過ぎて
｢世界中に二人だけみたいだね｣と小さくこぼした

同時に言葉を失くした 坂を上りきった時
迎えてくれた朝焼けが あまりにも綺麗過ぎて

笑っただろう あの時 僕の後ろ側で
振り返る事が出来なかった 僕は泣いていたから

券売機で一番端の
一番高い切符が行く町を 僕はよく知らない

その中でも一番安い
入場券を すぐに使うのに 大事にしまった

おととい買った 大きな鞄
改札に引っ掛けて通れずに 君は僕を見た

目は合わせないで頷いて
頑なに引っ掛かる 鞄の紐を 僕の手が外した

響くベルが最後を告げる 君だけのドアが開く
何万歩より距離のある一歩 踏み出して君は言う

｢約束だよ 必ず いつの日かまた会おう｣
応えられず 俯いたまま 僕は手を振ったよ

間違いじゃない あの時 君は･･･

線路沿いの下り坂を
風よりも早く飛ばしていく 君に追いつけと
錆び付いた車輪 悲鳴上げ
精一杯電車と並ぶけれど
ゆっくり離されてく

泣いてただろう あの時 ドアの向こう側で
顔見なくてもわかってたよ 声が震えてたから

約束だよ 必ず いつの日かまた会おう
離れてく 君に見えるように 大きく手を振ったよ

町は賑わいだしたけれど
世界中に一人だけみたいだなぁ と小さくこぼした

錆び付いた車輪 悲鳴を上げ
残された僕を運んでいく
微かな温もり
",感動
"８月１５日の
午後１２時半くらいのこと
天気がいい

病気になりそうなほど
眩しい日差しの中
することも無いから
君と駄弁っていた

「でもまぁ夏は嫌いかな」
猫を撫でながら
君はふてぶてしく呟いた

あぁ、逃げ出した猫の
後を追いかけて
飛び込んでしまったのは
赤に変わった信号機

バッと通ったトラックが
君を轢きずって鳴き叫ぶ
血飛沫の色、君の香りと
混ざり合ってむせ返った

嘘みたいな陽炎が
「嘘じゃないぞ」って嗤ってる
夏の水色、かき回すような
蝉の音に全て眩んだ

目を覚ました時計の針が
鳴り響くベットで
今は何時？

８月１４日の
午前１２時過ぎ位を指す
やけに煩い蝉の声覚えていた

でもさぁ、少し不思議だな。
同じ公園で
昨日見た夢を思い出した

「もう今日は帰ろうか」
道に抜けた時
周りの人は皆
上を見上げ口を開けていた

落下してきた鉄柱が
君を貫いて突き刺さる
劈く悲鳴と風鈴の音が
木々の隙間で空廻り

ワザとらしい陽炎が
「夢じゃないぞ」って嗤ってる
眩む視界に君の横顔、
笑ってるような気がした

何度世界が眩んでも
陽炎が嗤って奪い去る、
繰り返して何十年。
もうとっくに
気がついていたろ。

こんなよくある話なら
結末はきっと１つだけ。
繰り返した夏の日の向こう。

バッと押しのけ飛び込んだ、
瞬間トラックにぶち当たる
血飛沫の色、
君の瞳と軋む体に乱反射して

文句ありげな陽炎に
「ざまぁみろよ」
って笑ったら
実によくある夏の日の事。
そんな何かがここで終わった。

目を覚ました８月１４日の
ベッドの上
少女はただ
「またダメだったよ」と
ひとり猫を抱きかかえてた",ミステリー
"涙で濡れた部屋に　ノックの音が転がった
誰にも会えない顔なのに
もう、なんだよ　どちら様？

「名乗る程大した名じゃないが
　誰かがこう呼ぶ　ラフ・メイカー
　アンタに笑顔を持って来た　寒いから入れてくれ」

ラフ・メイカー？冗談じゃない！
そんなモン呼んだ覚えは無い
構わず消えてくれ　そこに居られたら泣けないだろう


大洪水の部屋に　ノックの音が飛び込んだ
あの野郎　まだ居やがったのか
消えてくれって言ったろ

「そんな言葉を言われたのは
　生まれてこの方初めてだ
　非常に悲しくなってきた　どうしよう、泣きそうだ」

ラフ・メイカー？冗談じゃない！
アンタが泣いてちゃしょうがない
泣きたいのは俺の方さ　こんなモン呼んだ覚えは無い

二人分の泣き声　遠く・・・

ドアを挟んで背中合わせ　しゃっくり交じりの泣き声
膝を抱えて背中合わせ　すっかり疲れた泣き声
今でもしっかり俺を笑わせるつもりか　ラフ・メイカー
「それだけが生き甲斐なんだ　笑わせないと帰れない」

今ではアンタを部屋に入れてもいいと思えたが
困ったことにドアが開かない　溜まった涙の水圧だ
そっちでドアを押してくれ　鍵なら既に開けたから
ウンとかスンとか言ってくれ


どうした？おい、まさか、


ラフ・メイカー？冗談じゃない！
今更俺一人置いて　構わず消えやがった
信じた瞬間裏切った


ラフ・メイカー　冗談じゃない！！
逆側の窓の割れる音
鉄パイプ持って　泣き顔で
「アンタに笑顔を持って来た」


小さな鏡を取り出して　俺に突きつけてこう言った
　アンタの泣き顔笑えるぞ
呆れたが　なるほど笑えた
",ほのぼの
"かぐわしい湯気を立てるティーカップがせいやの前に置かれる。
心地いい香り。
軽く息を吹いて一口いただく。
うまい。
紅茶のことは知らなかったがこれは素晴らしかった。
「いかがですか？」
「素晴らしい」
「よかったです」
彼女はしっとりと微笑む。
黄昏の山陵に沈む、夕日のような笑顔だった。
その微笑みにしばらく見惚れてから、聖夜は咳払いをして尋ねた。",ほのぼの
"遠い遠い時の果て　そこに住まう人は皆 
永遠の命をもつ世界での話 
赤い実の成る木の下　La La Lu La 生まれながらに 
死の呪いがかけられた少女の話

色付いた街外れ　蒼く光る湖畔　赤い実のお菓子屋 
ちょっぴり寒くなった今日は妙に誇らしげ　自信作を売りにゆく 
待ってて　今度こそ　美味しいんだから

時計塔の見える市　驚いた 
珍しく賑やかね　La La Lu La Lucky!! 
物憂げな街の隅　ひとり 
赤い実のパイどうですか　自信作なの

そんなのひとつも売れないさ　少女を見て蔑む人達 
みんなと何も変わらないのに　美味しくできたのに

今日も声は届かないのね 
まるで透明になったみたいだわ 
そうして誰もが知らぬ振りをした 
何故なら少女は呪われているから 
死んだ世界で唯ひとり生きていた少女の話

夜なべでアレンジパイと　にっこりスマイル引っ提げ 
少女はまだ諦めない 
時計塔の針も空を指して　お腹も鳴るそんな時

ふと後ろから人が少女を押す　甘い籠は落ちる 
お菓子を踏み行く人達　平気な顔してさ 
惨めに拾い集める　ふともうひとりの手が 
どろどろのパイを徐に口に入れて　「おいしいね」

その声で心は溢れた 
まるで輪郭を描いたみたいだわ 
そうして彼は手を差し出した 
何故なら少女に呪われているから 
死んだ世界で唯ふたり生きていた遠い物語

街の人達は哀れむ　赤い実を食べて呪われた者を 
永遠に生きられずに死ぬのさ　嗚呼なんて可哀想な話

ふたりは笑う　それでも笑う 
La La La　とっても素敵な呪いね 
例え明日死んでも　『今』が確かで大切になるから

もう声は届かないのね 
まるで透明になったみたいだわ 
そうして誰もが知らぬ振りをした 
何故なら世界が呪われているから

『永遠』の呪いは解かれていた 
まるでふたりの方が狂ったみたいだろう 
そうしていつか笑うように眠る 
何故ならふたりは放たれているから 
死んだ世界で唯ふたりだけが幸せだった",感動
"ひだまりに　あくびして 
ななめに　せのびして 
ことりを　ながめたら 
トースターにいちまい　パンをのせて 
きょうがはじまる

あざやかに　まちはかがやいている 
きらきらと　わらっている 
ひろばへとつづいてく　ほどうが 
みどりいろの　かみにゆれた

あどーん　あいぇいいぇい　あふー

うたたね　してしまいそうな 
おひる　てんてけてんてんてん 
そ～れ　ぴんぴきぴんぴんぴん 
おひさまが　やねにのぼって 
あそぶ　てんてけてんてんてんてんてんのてんてん

くだりざかを　はしって 
しんごうで　とまって 
みぎみて　ひだりみて 
もういちど　みぎみて　わたりましょう 
きょうもハレバレ

あざやかに　まちはかがやいている 
きらきらと　わらっている 
くるまのボンネットに　うつった 
くもが　まるくながれていた

たびゆけば　ゆけばわかるような 
きがしたらそれは　いいかんじ

ゆうぐれに　かげがのびてゆく 
ならんで　あかりをぬけてく 
どこかで　はずんだボールの 
ねいろが　そらにひろがっていった 
しずけさ　ひらひら　まう

とけいのかねが　ひびいた 
ことりが　はばたいて 
きょうを　わたった 
せかいはつづく 
そうしてつづく

あざやかに　まちはかがやいている 
きらきらと　あすをつなぐ 
くれてゆく　ひのひかりのおくに 
いつかの　そらをうつしだす

あめがふり　ずぶぬれのまま 
みずたまりを　あるくきょうも 
やがて　またはれて　あしたがくる 
まちは　きょうも　わらっている",ほのぼの
"いつもどおりのある日の事
君は突然立ち上がり言った
「今夜星を見に行こう」

「たまには良い事言うんだね」
なんてみんなして言って笑った
明かりも無い道を
バカみたいにはしゃいで歩いた
抱え込んだ孤独や不安に
押しつぶされないように
真っ暗な世界から見上げた
夜空は星が降るようで
いつからだろ 君の事を
追いかける私がいた
どうかお願い
驚かないで聞いてよ
私のこの想いを
「あれがデネブ、アルタイル、ベガ」
君は指さす夏の大三角
覚えて空を見る
やっと見つけた織姫様
だけどどこだろう彦星様
これじゃひとりぼっち
楽しげなひとつ隣の君
私は何も言えなくて
本当はずっと君の事を
どこかでわかっていた
見つかったって
届きはしない
だめだよ 泣かないで
そう言い聞かせた
強がる私は臆病で
興味がないようなふりをしてた
だけど
胸を刺す痛みは増してく
ああそうか 好きになるって
こういう事なんだね
どうしたい?言ってごらん
心の声がする
君の隣がいい
真実は残酷だ
言わなかった
言えなかった
二度と戻れない
あの夏の日
きらめく星
今でも思い出せるよ
笑った顔も
怒った顔も
大好きでした
おかしいよね
わかってたのに
君の知らない
私だけの秘密
夜を越えて
遠い思い出の君が
指を差す
無邪気な声で",感動
"いつか君が瞳を灯す愛の光が
時を超えて
滅び急ぐ世界の夢を
確かに1つ壊すだろう
 
ためらいを飲み干して
君が望むモノは何？
こんな欲深い憧れの行方に儚い明日はあるの？
 
子供の頃夢に見てた
いにしえの魔法のように
闇さえ砕く力で
微笑む君に会いたい
怯えるこの手の中には
手折られた花の勇気
想いだけが頼る全て
光を呼び覚ます
願い
 
いつか君も誰かの為に
強い力を望むのだろう
愛が胸を捉えた夜に
未知の言葉が生まれて来る
迷わずに行けるなら
心が砕けてもいいわ
いつも目の前の哀しみに
立ち向かう為の
呪文が欲しい
 
君はまだ夢見る記憶
私は眠らない明日
二人が出会う奇跡を
勝ち取る為に進むわ
怯えるこの手の中には
手折られた花の刃
想いだけが生きる全て
心に振りかざす
願い
 
囚われた太陽の輝く
不思議の国の本が好きだった頃
願いはきっと叶うと
教えるおとぎ話を
信じた
 
静かに咲き乱れていた
いにしえの魔法優しく
世界を変える力が
その手にあるとささやく
終わらない夢をみよう
君と行く時の中で
想いだけが生きる全て
命を作るのは
願い",ミステリー
"そいつは酷い どこまでも胡散臭くて 安っぽい宝の地図 でも人によっちゃ それ自体が宝物 「こいつは 凄い財宝の在り処なんだ」 信じきった彼もとうとう その真偽を確かめる旅に出るとする  誰もが口々に彼を罵った 「デタラメの地図に眼が眩んでる」って  容易く 人一人を値踏みしやがって 世界の神ですら 彼を笑う権利なんて持たないのに  そいつは酷い出来栄えだが こつこつ地道に作り上げた 自前の船 彼にとっちゃ記念すべき最初の武器 荷物を積み別れを告げ 朝焼けの海に帆を張った 堪え切れず掲げた拳 響き渡る閧の声 そいつは酷い どこまでも胡散臭くて安っぽい宝の地図 でも誰にだって それ自体が宝物 ホントにでかい 誰もが耳疑うような夢物語でも 信じきった人によっちゃ 自伝に成り得るだろう  誰もが遠ざかる 船を呪い出した 「願わくば 高波よ悪魔となれ」  容易く 覚悟の前に立ちはだかりやがって 夢の終わりは 彼が拳を下げた時だけ  死に際の騎士 その手にグングニル 狙ったモノは 必ず貫く  誰もがその手を 気付けば振っていた 黄金の海原を走る 船に向けて 自ら その手で破り捨てた 地図の切れ端を探して 拾い集め出した  容易く 自分自身を値踏みしやがって 世界の神ですら 君を笑おうとも 俺は決して笑わない 船は今 嵐の真ん中で 世界の神ですら それを救う権利を欲しがるのに",白熱
"それならいっそ　歪んだ方が正解じゃん 
今も消えないほど痛い　痛いの 
壊れるほどに　求めた正当性 
次も誰かのために　欲（ホンネ）隠して愛（ウソ）を突くんだ

それでもあなたを愛したことだけが 
消えてくれやしない　しないよ 
いつになって誰を愛したとて 
僕の心の中で　進化するんだ　息をするんだ

「じっとしてって言っといたじゃん」",ミステリー
